FENCE commit cycle=73
B cycle=94 addr=80000080 resp=0
INVALIDATE cycle=103 done=1
QUERY A cycle=104 maintenance=0 invalidate=0
FETCH A cycle=107 instr=0040006f predicted_taken=0 target=00000000
COMMIT cycle=110 pc=80000080 next=80000084 trap=0
COMMIT cycle=115 pc=80000084 next=80000180 trap=0
SITE_SUCCESSOR actual=80000084 expected=80000084
B cycle=133 addr=10002004 resp=0
COMMIT cycle=134 pc=80000180 next=80000184 trap=0
COMMIT cycle=135 pc=80000184 next=800001c0 trap=0
COMMIT cycle=141 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=147 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=148 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=149 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=150 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=151 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=152 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=153 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=154 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=155 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=156 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=157 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=158 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=159 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=160 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=161 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=162 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=163 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=164 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=165 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=166 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=167 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=168 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=169 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=170 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=171 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=172 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=173 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=174 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=175 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=176 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=177 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=178 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=179 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=180 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=181 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=182 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=183 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=184 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=185 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=186 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=187 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=188 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=189 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=190 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=191 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=192 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=193 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=194 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=195 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=196 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=197 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=198 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=199 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=200 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=201 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=202 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=203 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=204 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=205 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=206 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=207 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=208 pc=800001c0 next=800001c0 trap=0
